,Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Date first added,Founded,Trailing PE,Peg Ratio,Trailing EPS,Current Ratio,Quick Ratio,Dividend Yield
47,NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals","Sunnyvale, California",1999-06-25,1992,22.93945,2.09,3.749,1.815,1.679,0.0233
48,NLOK,NortonLifeLock,Information Technology,Application Software,"Tempe, Arizona",2003-03-25,1982,12.690355,1.12,1.496,0.693,0.631,0.02
49,NVDA,Nvidia,Information Technology,Semiconductors,"Santa Clara, California",2001-11-30,1993,101.71138,1.87,3.243,7.145,6.437,0.0005
50,NXPI,NXP,Information Technology,Semiconductors,"Eindhoven, Netherlands",2021-03-22,1953,39.61683,0.96,5.585,1.373,0.955,0.010199999
51,ORCL,Oracle,Information Technology,Application Software,"Austin, Texas",1989-08-31,1977,19.9089,2.33,4.72,2.042,1.898,0.0136
52,PAYX,Paychex,Information Technology,Data Processing & Outsourced Services,"Penfield, New York",,1971,37.199406,4.07,3.36,1.274,0.449,0.0211
53,PAYC,Paycom,Information Technology,Application Software,"Oklahoma City, Oklahoma",2020-01-28,1998,159.4983,4.01,2.95,1.074,0.082,
54,PYPL,PayPal,Information Technology,Data Processing & Outsourced Services,"San Jose, California",2015-07-20,1998,46.552055,2.13,4.159,1.298,0.337,
55,PTC,PTC,Information Technology,Application Software,"Boston, Massachusetts",2021-04-20,1985,29.114143,1.62,4.03,,,
56,QRVO,Qorvo,Information Technology,Semiconductors,"Greensboro, North Carolina",2015-06-11,2015,16.071873,0.93,9.656,2.816,2.05,
57,QCOM,Qualcomm,Information Technology,Semiconductors,"San Diego, California",,1985,23.506989,0.57,7.87,1.68,1.338,0.0147
58,CRM,Salesforce,Information Technology,Application Software,"San Francisco, California",2008-09-15,1999,120.61274,6.39,2.497,0.935,0.789,
59,STX,Seagate Technology,Information Technology,"Technology Hardware, Storage & Peripherals","Dublin, Ireland",2012-07-02,1979,14.831493,0.57,6.795,1.27,0.794,0.0278
60,NOW,ServiceNow,Information Technology,Systems Software,"Santa Clara, California",2019-11-21,2003,619.5875,4.38,1.091,1.131,1.004,
61,SWKS,Skyworks Solutions,Information Technology,Semiconductors,"Woburn, Massachusetts",2015-03-12,2002,17.916388,1.12,8.97,2.522,1.686,0.0139
62,SNPS,Synopsys,Information Technology,Application Software,"Mountain View, California",2017-03-16,1986,74.61956,3.23,4.797,1.184,1.024,
63,TEL,TE Connectivity,Information Technology,Electronic Manufacturing Services,"Schaffhausen, Switzerland",2011-10-17,2007,24.34443,1.64,6.788,1.56,0.889,0.0121
64,TER,Teradyne,Information Technology,Semiconductor Equipment,"North Reading, Massachusetts",2020-09-21,1960,28.493126,1.66,5.309,3.345,2.534,0.0026
65,TXN,Texas Instruments,Information Technology,Semiconductors,"Dallas, Texas",,1930,25.059065,2.44,7.788,5.63,4.739,0.023599999
66,TRMB,Trimble,Information Technology,Electronic Equipment & Instruments,"Sunnyvale, California",2021-01-21,1978,40.35048,3.21,2.197,1.367,0.958,
67,TYL,Tyler Technologies,Information Technology,Application Software,"Plano, Texas",2020-06-22,1966,143.2366,7.72,3.825,1.076,1.011,
68,VRSN,Verisign,Information Technology,Internet Services & Infrastructure,"Dulles, Virginia",2006-02-01,1995,43.639328,5.1,5.523,1.206,1.152,
69,V,Visa,Information Technology,Data Processing & Outsourced Services,"San Francisco, California",2009-12-21,1958,42.0277,1.95,4.838,2.0,1.623,0.0057
70,WDC,Western Digital,Information Technology,"Technology Hardware, Storage & Peripherals","San Jose, California",2009-07-01,1970,48.731407,0.13,1.143,2.007,1.031,
71,WU,Western Union,Information Technology,Data Processing & Outsourced Services,"Englewood, Colorado",2006-09-29,1851,9.309393,1.14,1.81,0.538,0.186,0.052699998
72,XLNX,Xilinx,Information Technology,Semiconductors,"San Jose, California",1999-11-08,1984,84.18703,4.88,2.62,5.576,5.069,
73,ZBRA,Zebra Technologies,Information Technology,Electronic Equipment & Instruments,"Lincolnshire, Illinois",2019-12-23,1969,50.87252,3.34,11.931,0.985,0.612,
0,AFL,Aflac,Financials,Life & Health Insurance,"Columbus, Georgia",1999-05-28,1955,7.1841664,1.64,7.781,0.626,0.477,0.0241
1,ALL,Allstate Corp,Financials,Property & Casualty Insurance,"Northfield Township, Illinois",1995-07-13,1931,9.94721,-10.47,11.366,0.726,0.17,0.023699999
2,AXP,American Express,Financials,Consumer Finance,"New York City, New York",1976-06-30,1850,28.882153,0.45,6.101,1.578,1.559,0.0105
3,AIG,American International Group,Financials,Property & Casualty Insurance,"New York City, New York",1980-03-31,1919,11.0039215,0.36,-4.44,0.734,0.212,0.0215
4,AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,"Minneapolis, Minnesota",2005-10-03,1894,13.438388,1.34,-0.532,2.549,1.79,0.0166
5,AON,Aon,Financials,Insurance Brokers,"London, UK",1996-04-23,1982 (1919),32.324303,1.75,9.121,1.07,0.226,0.0068
6,AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,"Rolling Meadows, Illinois",2016-05-31,1927,37.3932,2.6,4.354,1.326,1.008,0.0117
7,AIZ,Assurant,Financials,Multi-line Insurance,"New York City, New York",2007-04-10,1892,13.145202,1.0,7.176,0.696,0.128,0.0161
8,BAC,Bank of America,Financials,Diversified Banks,"Charlotte, North Carolina",1976-06-30,1998 (1923 / 1874),19.87983,0.52,2.33,,,0.0179
9,BRK.B,Berkshire Hathaway,Financials,Multi-Sector Holdings,"Omaha, Nebraska",2010-02-16,1839,0.0042429115,1.02,66140.91,1.57,1.414,
10,BLK,BlackRock,Financials,Asset Management & Custody Banks,"New York City, New York",2011-04-04,1988,26.740757,1.49,34.508,1.379,0.522,0.0182
11,BK,BNY Mellon,Financials,Asset Management & Custody Banks,"New York City, New York",1995-03-31,1784,15.409442,1.17,3.749,,,0.0229
12,BRO,Brown & Brown,Financials,Insurance Brokers,"Daytona Beach, Florida",2021-09-20,1939,34.689022,2.13,1.849,1.246,0.834,0.0069
