,Unnamed: 0,Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Date first added,Founded,Trailing PE,Peg Ratio,Trailing EPS,Current Ratio,Quick Ratio,Dividend Yield
26,205,BEN,Franklin Resources,Financials,Asset Management & Custody Banks,"San Mateo, California",,1947,22.349165,0.92,1.558,3.822,1.863,0.036
27,217,GL,Globe Life,Financials,Life & Health Insurance,"McKinney, Texas",1989-04-30,1900,13.638361,1.74,6.83,0.361,0.259,0.0084
28,219,GS,Goldman Sachs,Financials,Investment Banking & Brokerage,"New York City, New York",2002-07-22,1869,9.721546,0.37,40.258,1.657,1.557,0.020399999
29,223,HIG,The Hartford,Financials,Property & Casualty Insurance,"Hartford, Connecticut",1957-03-04,1810,15.038395,1.23,4.688,2.06,1.132,0.021300001
30,240,HBAN,Huntington Bancshares,Financials,Regional Banks,"Columbus, Ohio; Detroit, Michigan",,1866,14.15937,-6.21,1.142,,,0.0375
31,250,ICE,Intercontinental Exchange,Financials,Financial Exchanges & Data,"Atlanta, Georgia",2007-09-26,2000,36.156517,2.79,3.744,1.006,0.024,0.0097
32,257,IVZ,Invesco,Financials,Asset Management & Custody Banks,"Atlanta, Georgia",2008-08-21,1935,16.049706,0.37,1.529,6.796,1.071,0.0278
33,267,JPM,JPMorgan Chase,Financials,Diversified Banks,"New York City, New York",1975-06-30,2000 (1799 / 1871),12.9332905,1.39,12.607,,,0.0228
34,271,KEY,KeyCorp,Financials,Regional Banks,"Cleveland, Ohio",1994-03-01,1825,13.388009,0.73,1.768,,,0.0312
35,288,LNC,Lincoln National,Financials,Multi-line Insurance,"Radnor, Pennsylvania",1976-06-30,1905,20.484797,0.16,3.486,1.97,0.398,0.0241
36,293,L,Loews Corporation,Financials,Multi-line Insurance,"New York City, New York",,1959,19.548275,,-0.143,0.488,0.488,0.0045
37,297,MTB,M&T Bank,Financials,Regional Banks,"Buffalo, New York",2004-02-23,1856,14.055722,0.83,11.342,,,0.028800001
38,300,MKTX,MarketAxess,Financials,Financial Exchanges & Data,"New York City, New York",2019-07-01,2000,45.85375,9.95,8.0,9.511,7.983,0.0054
39,302,MMC,Marsh & McLennan,Financials,Insurance Brokers,"New York City, New York",1987-08-31,1905,38.285713,2.11,4.375,1.183,1.1,0.0128
40,313,MET,MetLife,Financials,Life & Health Insurance,"New York City, New York",,1868,11.031691,1.02,5.68,1.025,0.802,0.0309
41,326,MCO,Moody's,Financials,Financial Exchanges & Data,"New York City, New York",,1909,36.864502,2.95,10.716,2.309,2.124,0.0069
42,327,MS,Morgan Stanley,Financials,Investment Banking & Brokerage,"New York City, New York",,1935,12.7769785,2.37,7.645,,,0.0275
43,330,MSCI,MSCI,Financials,Financial Exchanges & Data,"New York City, New York",2018-04-04,1969,85.89518,3.73,7.747,1.817,1.752,0.0056
44,331,NDAQ,Nasdaq,Financials,Financial Exchanges & Data,"New York City, New York",2008-10-22,1971,33.93496,1.88,6.15,1.025,0.208,0.011
45,343,NTRS,Northern Trust,Financials,Asset Management & Custody Banks,"Chicago, Illinois",,1889,21.643785,1.11,5.609,,,0.0254
46,368,PBCT,People's United Financial,Financials,Thrifts & Mortgage Finance,"Bridgeport, Connecticut",2008-11-13,1842,35.667313,0.82,0.517,,,0.044899996
47,376,PNC,PNC Financial Services,Financials,Regional Banks,"Pittsburgh, Pennsylvania",1988-04-30,1845,10.502902,-3.63,19.129,,,0.024400001
48,380,PFG,Principal Financial Group,Financials,Life & Health Insurance,"Des Moines, Iowa",2002-07-22,1879,12.112245,0.65,5.88,2.354,2.076,0.0372
49,382,PGR,Progressive Corporation,Financials,Property & Casualty Insurance,"Mayfield Village, Ohio",1997-08-04,1937,8.248773,-2.18,10.998,0.369,0.247,0.0044
50,384,PRU,Prudential Financial,Financials,Life & Health Insurance,"Newark, New Jersey",2002-07-22,1875,16.235697,0.75,6.729,0.959,0.16,0.0414
51,395,RJF,Raymond James Financial,Financials,Investment Banking & Brokerage,"St. Petersburg, Florida",2017-03-20,1962,13.074663,0.72,7.487,2.951,2.934,0.0121
52,400,RF,Regions Financial Corporation,Financials,Regional Banks,"Birmingham, Alabama",1998-08-28,1971,15.713346,0.19,1.521,,,0.028800001
53,409,SPGI,S&P Global,Financials,Financial Exchanges & Data,"New York City, New York",,1917,45.67139,3.66,10.158,2.091,2.001,0.0068
54,425,STT,State Street Corporation,Financials,Asset Management & Custody Banks,"Boston, Massachusetts",,1792,15.690279,0.83,6.07,,,0.026300002
55,428,SIVB,SVB Financial,Financials,Regional Banks,"Santa Clara, California",2018-03-19,1983,24.519302,2.32,30.383,,,
56,429,SYF,Synchrony Financial,Financials,Consumer Finance,"Stamford, Connecticut",2015-11-18,2003,13.589094,0.2,3.558,,,0.0176
57,433,TROW,T. Rowe Price,Financials,Asset Management & Custody Banks,"Baltimore, Maryland",,1937,17.830334,1.09,11.776,1.897,1.897,0.020499999
58,449,TRV,The Travelers Companies,Financials,Property & Casualty Insurance,"New York City, New York",2002-08-21,1853,14.105043,1.6,11.062,0.381,0.205,0.0224
59,451,TFC,Truist Financial,Financials,Regional Banks,"Charlotte, North Carolina",1997-12-04,1872,,1.23,,,,0.0348
60,457,USB,U.S. Bancorp,Financials,Diversified Banks,"Minneapolis, Minnesota",,1968,15.479018,0.93,3.789,,,0.0295
61,478,WRB,W. R. Berkley Corporation,Financials,Property & Casualty Insurance,"Greenwich, Connecticut",2019-12-05,1967,20.137728,1.91,4.066,0.449,0.272,0.0073
62,486,WFC,Wells Fargo,Financials,Diversified Banks,"San Francisco, California",1976-06-30,1852,34.27198,0.09,1.456,,,0.0172
63,495,WLTW,Willis Towers Watson,Financials,Insurance Brokers,"London, England",2016-01-05,2016,20.88117,2.31,10.94,1.097,0.245,0.0123000005
64,503,ZION,Zions Bancorp,Financials,Regional Banks,"Salt Lake City, Utah",2001-06-22,1873,13.462086,-0.27,4.919,,,0.0239
